15min_group,total_frames,persistent_ones,Persistent_1_Ratio
2025-02-22 00:00:00,4499,0,0.0
2025-02-22 00:15:00,4500,577,12.822222222222221
2025-02-22 00:30:00,4415,454,10.28312570781427
2025-02-22 00:45:00,4363,817,18.725647490258996
2025-02-22 01:00:00,4508,733,16.259982253771074
2025-02-22 01:15:00,4200,295,7.023809523809524
2025-02-22 01:30:00,4500,192,4.266666666666667
2025-02-22 01:45:00,4434,164,3.6986919260261617
2025-02-22 02:00:00,4505,572,12.697003329633741
2025-02-22 02:15:00,4500,369,8.200000000000001
2025-02-22 02:30:00,4500,165,3.6666666666666665
2025-02-22 02:45:00,4500,610,13.555555555555557
2025-02-22 03:00:00,4500,0,0.0
2025-02-22 03:15:00,4500,99,2.1999999999999997
2025-02-22 03:30:00,4500,0,0.0
2025-02-22 03:45:00,4500,0,0.0
2025-02-22 04:00:00,4503,16,0.35531867643793025
2025-02-22 04:15:00,4500,0,0.0
2025-02-22 04:30:00,4500,0,0.0
2025-02-22 04:45:00,4500,126,2.8000000000000003
2025-02-22 05:00:00,4504,188,4.174067495559503
2025-02-22 05:15:00,4500,0,0.0
2025-02-22 05:30:00,4500,1045,23.22222222222222
2025-02-22 05:45:00,4460,600,13.452914798206278
2025-02-22 06:00:00,3912,425,10.8640081799591
2025-02-22 06:15:00,4500,0,0.0
2025-02-22 06:30:00,4500,162,3.5999999999999996
2025-02-22 06:45:00,4500,0,0.0
2025-02-22 07:00:00,4464,1307,29.278673835125446
2025-02-22 07:15:00,4494,665,14.797507788161992
2025-02-22 07:30:00,4271,2287,53.54717864668695
2025-02-22 07:45:00,4489,2157,48.050790822009354
2025-02-22 08:00:00,4499,599,13.314069793287398
2025-02-22 08:15:00,4248,1340,31.544256120527308
2025-02-22 08:30:00,4335,1469,33.88696655132642
2025-02-22 08:45:00,4496,1670,37.144128113879006
2025-02-22 09:00:00,4448,1025,23.04406474820144
2025-02-22 09:15:00,4365,377,8.6368843069874
2025-02-22 09:30:00,4242,1911,45.04950495049505
2025-02-22 09:45:00,4496,976,21.70818505338078
2025-02-22 10:00:00,4407,1589,36.05627410937146
2025-02-22 10:15:00,4265,553,12.966002344665887
2025-02-22 10:30:00,4463,1128,25.27447904996639
2025-02-22 10:45:00,4489,1324,29.494319447538427
2025-02-22 11:00:00,2680,1935,72.20149253731343
2025-02-22 11:15:00,4102,1488,36.27498781082399
2025-02-22 11:30:00,4483,1777,39.638634842739236
2025-02-22 11:45:00,4478,2554,57.034390352836084
2025-02-22 12:00:00,4310,2419,56.125290023201856
2025-02-22 12:15:00,4154,3196,76.93789118921521
2025-02-22 12:30:00,3804,1205,31.67718191377497
2025-02-22 12:45:00,4373,1875,42.87674365424194
2025-02-22 13:00:00,4505,1495,33.18534961154273
2025-02-22 13:15:00,4355,2191,50.30998851894374
2025-02-22 13:30:00,4500,351,7.8
2025-02-22 13:45:00,4464,965,21.6173835125448
2025-02-22 14:00:00,4502,1012,22.478898267436694
2025-02-22 14:15:00,4323,1970,45.570205875549384
2025-02-22 14:30:00,4398,1202,27.330604820372894
2025-02-22 14:45:00,4440,1138,25.63063063063063
2025-02-22 15:00:00,4483,1924,42.91768904751282
2025-02-22 15:15:00,4223,1365,32.322993132843955
2025-02-22 15:30:00,4464,0,0.0
2025-02-22 15:45:00,4404,683,15.5086285195277
2025-02-22 16:00:00,4436,1004,22.633002705139766
2025-02-22 16:15:00,4495,2091,46.518353726362626
2025-02-22 16:30:00,3976,1105,27.791750503018108
2025-02-22 16:45:00,4427,1459,32.95685565845945
2025-02-22 17:00:00,4403,2618,59.45945945945946
2025-02-22 17:15:00,4239,2729,64.3783911299835
2025-02-22 17:30:00,4227,3231,76.43718949609652
2025-02-22 17:45:00,4500,1287,28.599999999999998
2025-02-22 18:00:00,4476,1518,33.9142091152815
2025-02-22 18:15:00,4497,1352,30.06448743606849
2025-02-22 18:30:00,4421,1660,37.54806604840534
2025-02-22 18:45:00,4500,1007,22.377777777777776
2025-02-22 19:00:00,4297,865,20.13032348149872
2025-02-22 19:15:00,4394,1147,26.10377787892581
2025-02-22 19:30:00,4245,1528,35.995288574793875
2025-02-22 19:45:00,4238,1506,35.53563001415762
2025-02-22 20:00:00,4436,1574,35.482416591523894
2025-02-22 20:15:00,4329,2547,58.83575883575883
2025-02-22 20:30:00,4266,761,17.838724800750118
2025-02-22 20:45:00,4389,1789,40.760993392572345
2025-02-22 21:00:00,4379,107,2.443480246631651
2025-02-22 21:15:00,4420,1058,23.936651583710407
2025-02-22 21:30:00,4497,132,2.935290193462308
2025-02-22 21:45:00,4500,0,0.0
2025-02-22 22:00:00,4505,525,11.653718091009988
2025-02-22 22:15:00,4470,904,20.22371364653244
2025-02-22 22:30:00,4500,0,0.0
2025-02-22 22:45:00,4471,1243,27.80138671438157
2025-02-22 23:00:00,4504,771,17.118117229129663
2025-02-22 23:15:00,4500,888,19.733333333333334
2025-02-22 23:30:00,4487,1271,28.326275908179184
2025-02-22 23:45:00,4500,0,0.0
